Modelo,RMSE médio,RMSE std,R² médio,MAPE médio,Bias médio
Schumacher-Hall,0.03767,0.00286,0.99516,4.21555,-0.00087
MLP (PyTorch),0.0826,0.05951,0.97889,14.0234,-0.00971
