Modelo,RMSE médio,RMSE std,R² médio,MAPE médio (%),Bias médio
schumacher_hall,0.03767,0.00286,0.99516,4.21555,-0.00087
spurr,0.04469,0.00545,0.99284,12.47852,-0.00015
